@RELATION SCMIR
@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@DATA
1,0.084054656326771,0,0,0.19047798216343,0.047824904322624,0,1,0.11030294746161,0.22463929653168,0.18168117105961
0.94050580263138,0.25506597757339,0.023809641599655,0.15555554628372,0.15021128952503,0.12602359056473,0.18824653327465,0.7646866440773,0.022573340684175,0,1
0.81454616785049,0.4147931933403,0.10952396690845,0.26349204778671,0.076869979500771,0.024774674326181,0.11997471004725,0.33087232708931,0,0.38265883922577,0.51157981157303
0.69701451063156,0.46997115015984,0.2285715341568,0.33015874028206,0.061455149203539,0.050925765186548,0.16113686561584,0.22593407332897,0.098548904061317,0.72897291183472,0.097356878221035
0.58735436201096,0.444041877985,0.24761915206909,0.38730162382126,0.093204081058502,0.38847279548645,0.5449087023735,0.00088670535478741,0.22154764831066,0.90355890989304,0.0095959696918726
0.48503869771957,0.18259966373444,0.142857208848,0.22539685666561,0.04333234205842,0.71518141031265,0.70701545476913,0,0.28923895955086,0.95366376638412,0.00071016571018845
0.38957336544991,0.01101706083864,0.15238101780415,0.034920651465654,0,0.96851575374603,0.95188462734222,0.10917673259974,0.28945508599281,0.97538411617279,0.00011789608834079
0.30050152540207,0,0.32857146859169,0.076190508902073,0.057234410196543,0.87573528289795,0.85069447755814,0.15226390957832,0.40537568926811,0.98645979166031,1.9760856957873e-05
0.21739454567432,0.055393777787685,0.35714289546013,0.050793673843145,0.087405413389206,0.97589999437332,0.96072083711624,0.82943451404572,0.45014697313309,0.99090677499771,1.954882463906e-05
0.13985297083855,0.26071959733963,0.57142859697342,0.32698413729668,0.24767708778381,1,1,0.017533214762807,0.6285525560379,0.99580419063568,0
0.067504167556763,0.57223612070084,0.82857137918472,0.69841265678406,0.60026395320892,0.67789316177368,0.71529477834702,0.36821752786636,0.95907229185104,0.99911350011826,0
0,1,1,1,1,0,0.05529011040926,0.11388051509857,1,1,0
