@RELATION SCMIR
@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@DATA
1,1,1,1,1,0,0,0.33482655882835,1,0,0.024850908666849
0.69528955221176,0.36726427078247,0.46460178494453,0.16216215491295,0.39140710234642,0.79838472604752,0.79839599132538,1,0.69199156761169,0.7740490436554,1
0.45955514907837,0,0.035398226231337,0,0,1,1,0.4131768643856,0,0.57500404119492,0.048025593161583
0,0.0020647144410759,0,0,0.016416653990746,0.7304465174675,0.73031765222549,0,0.12683419883251,1,0
